keq,kf,cbulk 0,steady state flux 0,cbulk 1,steady state flux 1,cbulk 2,steady state flux 2,cbulk 3,steady state flux 3,log10keq,log10kf
0.001,1.2045,0.1,-1.8061391458261132e-07,0.01,-4.978197998433538e-08,0.02,-7.426494091898321e-08,0.04,-1.094611126010417e-07,-3.0,0.08080680433436215
0.001,6.4281,0.1,-1.9109066425456845e-07,0.01,-5.1046005323127185e-08,0.02,-7.676386308528828e-08,0.04,-1.1419542141863976e-07,-3.0,0.8080826243312539
0.00082864,1.0,0.1,-1.6490705859513361e-07,0.01,-4.5946949713057635e-08,0.02,-6.824644686736082e-08,0.04,-1.0026152904486822e-07,-3.0816341063261814,0.0
0.00015264,1.0,0.1,-7.490042370655568e-08,0.01,-2.1809922709912653e-08,0.02,-3.17333101270551e-08,0.04,-4.5994954343822374e-08,-3.8163316426399803,0.0
0.00015264,1.2045,0.1,-7.543557166133779e-08,0.01,-2.189253681599128e-08,0.02,-3.188155823305295e-08,0.04,-4.6255393769771766e-08,-3.8163316426399803,0.08080680433436215
0.00015264,1.4508,0.1,-7.601514547383299e-08,0.01,-2.1982048236362645e-08,0.02,-3.204219625414016e-08,0.04,-4.653757034404954e-08,-3.8163316426399803,0.16160754690839674
0.00015264,1.7475,0.1,-7.664226309166635e-08,0.01,-2.2078933401131094e-08,0.02,-3.2216088449316016e-08,0.04,-4.684300836778891e-08,-3.8163316426399803,0.24241718441771903
0.00015264,2.1049,0.1,-7.732018180566471e-08,0.01,-2.2183685072809246e-08,0.02,-3.240413195088574e-08,0.04,-4.71732949116554e-08,-3.8163316426399803,0.32323146811477443
0.00015264,2.5354,0.1,-7.805229495134708e-08,0.01,-2.2296810146768393e-08,0.02,-3.260725374443547e-08,0.04,-4.753007610631995e-08,-3.8163316426399803,0.4040464859922965
0.00015264,3.0539,0.1,-7.884212760129272e-08,0.01,-2.2418826942989903e-08,0.02,-3.282640690558285e-08,0.04,-4.7915052470705724e-08,-3.8163316426399803,0.48485481197409214
0.00015264,3.6784,0.1,-7.969333131836564e-08,0.01,-2.2550261957722843e-08,0.02,-3.30625660654567e-08,0.04,-4.832997325876784e-08,-3.8163316426399803,0.5656589539252038
0.00015264,4.4306,0.1,-8.06096780414369e-08,0.01,-2.2691646055375022e-08,0.02,-3.3316722073406334e-08,0.04,-4.877662979437071e-08,-3.8163316426399803,0.6464625431631279
0.00015264,5.3367,0.1,-8.159505322302256e-08,0.01,-2.284351008953031e-08,0.02,-3.358987585485561e-08,0.04,-4.925684784173998e-08,-3.8163316426399803,0.7272727898362743
0.00082864,1.2045,0.1,-1.6565952747892714e-07,0.01,-4.604153126985463e-08,0.02,-6.84304430251288e-08,0.04,-1.006057116424717e-07,-3.0816341063261814,0.08080680433436215
0.00015264,6.4281,0.1,-8.265344836015039e-08,0.01,-2.3006379955257926e-08,0.02,-3.388303146622132e-08,0.04,-4.977247900515276e-08,-3.8163316426399803,0.8080826243312539
0.00015264,7.7426,0.1,-8.378895301296625e-08,0.01,-2.3180771089825737e-08,0.02,-3.4197188377702214e-08,0.04,-5.032539123965315e-08,-3.8163316426399803,0.8888868232206528
0.00015264,9.326,0.1,-8.500574646137006e-08,0.01,-2.3367182454016818e-08,0.02,-3.4533333016914784e-08,0.04,-5.091745850825472e-08,-3.8163316426399803,0.9696954111184732
0.00015264,11.233,0.1,-8.630808904508447e-08,0.01,-2.3566090046162954e-08,0.02,-3.489242964686271e-08,0.04,-5.155054967648885e-08,-3.8163316426399803,1.0504957588838553
0.00015264,13.53,0.1,-8.770031322787016e-08,0.01,-2.3777940009435226e-08,0.02,-3.52754106386704e-08,0.04,-5.222651670012114e-08,-3.8163316426399803,1.131297796597623
0.00015264,16.298,0.1,-8.918681423717141e-08,0.01,-2.4003141421673563e-08,0.02,-3.5683166234473e-08,0.04,-5.294718217754294e-08,-3.8163316426399803,1.2121343134680171
